ופקיד וּפַקֵּּ[י]ד:ס=שפיקד
דילתתא דִּלְְתַּתָּּא:ס
דכלא דְְּכֹלָּּא:ס
דכנופייא דְְּכִנּּוּפְיָ[י]א:שם-עצם,נקבה,יחיד=דקבוצה
דלא דְְּלָא:ס=שלא
דלית דְְּלֵית:ס
דלעילא דִּלְעֵ[י]לָּּא:שם-עצם,זכר,יחיד=שלמעלה
דמר דְְּמָר:שם-עצם,זכר,יחיד=האדון
דמתכנפי דְְּמִתְכַּנְְּּפֵי:ס
דנהיר דְְּנָהֵ[י]ר:ס
דסבין דְְּסָבִין:שם-עצם(סבא),זכר,רבים=דזקנים
דספרא דְְּסִפְרָא:שם-עצם,זכר,יחיד=דספר
דסתרין דְְּסִתְרִין:שם-עצם(סתרא),זכר,רבים=דסתרים
דעתיק דְְּעַתִּּיק:ס=העתיק
דעתיקין דְְּעַתִּּיקִין:ס
דקדישי דְְּקַדִּּישֵׁי:שם-עצם(קדישא),זכר,רבים=שהקדושים
דקדשא דְְּקֻדְשָׁא:שם-עצם,זכר,יחיד=הקדוש
דקיומא דְְּקִיּּוּמָא:שם-עצם,זכר,יחיד=דקיום
דרבי דְְּרִבִּּי:שם-עצם,זכר,יחיד=רבי
דרוחא דְְּרוּחָא:שם-עצם,זכר,יחיד=דרוח
דרוחיה דְְּרוּחֵ[י]הּ:שם-עצם(רוחא),זכר,יחיד=דברוחו
דרזייא דְְּרָזַיָּּ[י]א:שם-עצם(רזא),זכר,רבים=דסודות
דרזין דְְּרָזִין:שם-עצם(רזא),זכר,יחיד=דסודות
דרמי דְְּרָמֵי:ס
דשביבין דִּשְׁבִיבִין:שם-עצם,זכר,רבים
דשמע דִּשְְׁמַע:ס
דשערי דְְּשַׂעֲרֵי:שם-עצם(שערא),זכר,רבים=דהשער
דתפוחין דְְּתַפּוּחִין:שם-עצם(תפוחא),זכר,רבים=דתפוחין
דתצטריך דְְּתִצְטְְרִיךְ:מילת-חיבור(ד)+נפעל(צרך),שני,זכר,יחיד,עתיד
דתשמע דְְּתִשְׁמַע:ס
ואינהו וְאִינְּּהוּ:ס=והם
ואינון וְאִ[י]נּּוּן:כינוי-אוגד=וְהֶם
ואפקה וְְאַפְּקַהּ:מילת-חיבור(ו)+הפעיל(נפק),שלישי,זכר,יחיד,עבר+שייכות,שלישי,נקבה,יחיד
ואצבען וְְאֶצְבְְּעָן:ס=ואצבעות
ואצנע וְְאַצְנַע:הפעיל(צנע),שלישי,זכר,יחיד,עבר
וארכבתן וְְאַרְכֻּבָּּתָן:שם-עצם(ארכבא),נקבה,רבים=וברכיהם
ואשתכחו וְְאִשְׁתְְּכַחוּ:ס=ונמצאו
והא וְְהָא:ס=והרי
והוא וְְהוּא:ס
והיינו וְְהַיִ[י]נוּ:ס
וחיזו וְְחֵיזוּ:ס
וכי וְְכִי:ס=וכי
וכמה וְְכַמָּּה:ס=וכמה
